rating,cocoa_percent,bean_type,bean_broad_origin,company_name,company_location
3.75,63.0, ,Sao Tome,A. Morin,France
2.75,70.0, ,Togo,A. Morin,France
3.0,70.0, ,Togo,A. Morin,France
3.5,70.0, ,Togo,A. Morin,France
3.5,70.0, ,Peru,A. Morin,France
2.75,70.0,Criollo,Venezuela,A. Morin,France
3.5,70.0, ,Cuba,A. Morin,France
3.5,70.0,Criollo,Venezuela,A. Morin,France
3.75,70.0,Criollo,Venezuela,A. Morin,France
4.0,70.0, ,Peru,A. Morin,France
2.75,70.0, ,Panama,A. Morin,France
3.0,70.0,Criollo,Madagascar,A. Morin,France
3.25,70.0, ,Brazil,A. Morin,France
3.75,70.0, ,Ecuador,A. Morin,France
2.75,70.0, ,Colombia,A. Morin,France
3.0,70.0, ,Burma,A. Morin,France
3.25,70.0, ,Papua New Guinea,A. Morin,France
4.0,70.0,Trinitario,Venezuela,A. Morin,France
3.25,70.0, ,Peru,A. Morin,France
3.5,70.0, ,Peru,A. Morin,France
4.0,63.0, ,Peru,A. Morin,France
3.5,70.0, ,Bolivia,A. Morin,France
3.75,63.0, ,Peru,A. Morin,France
3.75,70.0, ,Peru,Acalli,U.S.A.
3.75,70.0,Criollo,Peru,Acalli,U.S.A.
2.75,60.0,Trinitario,Fiji,Adi,Fiji
3.25,80.0,Trinitario,Fiji,Adi,Fiji
3.5,88.0,Trinitario,Fiji,Adi,Fiji
3.5,72.0,Trinitario,Fiji,Adi,Fiji
2.75,55.0,Forastero,Ecuador,Aequare (Gianduja),Ecuador
3.0,70.0,Forastero,Ecuador,Aequare (Gianduja),Ecuador
3.0,70.0,Criollo,Mexico,Ah Cacao,Mexico
3.75,75.0,Trinitario,Indonesia,Akesson's (Pralus),Switzerland
2.75,75.0,Criollo,Madagascar,Akesson's (Pralus),Switzerland
2.75,75.0,Forastero,Brazil,Akesson's (Pralus),Switzerland
2.75,65.0,Trinitario,Trinidad,Alain Ducasse,France
2.75,75.0,Trinitario,Vietnam,Alain Ducasse,France
3.0,75.0,Trinitario,Madagascar,Alain Ducasse,France
2.5,75.0,Trinitario,Venezuela,Alain Ducasse,France
2.5,75.0, ,Peru,Alain Ducasse,France
3.5,70.0,Forastero,Ecuador,Alexandre,Netherlands
3.5,70.0,Criollo,Nicaragua,Alexandre,Netherlands
3.5,70.0,Trinitario,Vietnam,Alexandre,Netherlands
3.5,70.0,Forastero,Tanzania,Alexandre,Netherlands
2.75,60.0, ,Nicaragua,Altus aka Cao Artisan,U.S.A.
3.0,60.0, ,Peru,Altus aka Cao Artisan,U.S.A.
2.5,60.0, ,Bolivia,Altus aka Cao Artisan,U.S.A.
2.5,60.0, ,Peru,Altus aka Cao Artisan,U.S.A.
2.75,60.0, ,Ecuador,Altus aka Cao Artisan,U.S.A.
2.5,60.0, ,Venezuela,Altus aka Cao Artisan,U.S.A.
3.0,60.0,Trinitario,Dominican Republic,Altus aka Cao Artisan,U.S.A.
3.25,80.0, ,Bolivia,Altus aka Cao Artisan,U.S.A.
3.0,60.0, ,Bolivia,Altus aka Cao Artisan,U.S.A.
3.25,60.0, ,Peru,Altus aka Cao Artisan,U.S.A.
4.0,70.0, ,Papua New Guinea,Amano,U.S.A.
3.75,70.0, ,Dominican Republic,Amano,U.S.A.
4.0,70.0, ,Ecuador,Amano,U.S.A.
3.0,70.0,Trinitario,Venezuela,Amano,U.S.A.
3.0,70.0, ,Venezuela,Amano,U.S.A.
2.75,70.0, ,Indonesia,Amano,U.S.A.
3.5,70.0,Trinitario,Madagascar,Amano,U.S.A.
3.0,70.0, ,Venezuela,Amano,U.S.A.
3.75,70.0,Criollo,Venezuela,Amano,U.S.A.
3.0,70.0,Forastero,Ghana,Amatller (Simon Coll),Spain
2.75,70.0, ,Ecuador,Amatller (Simon Coll),Spain
2.75,85.0, ,Ecuador,Amatller (Simon Coll),Spain
3.0,85.0,Forastero,Ghana,Amatller (Simon Coll),Spain
3.25,72.0, ,Peru,Amazona,Peru
3.5,73.0,Trinitario,Peru,Amazona,Peru
3.0,64.0,Trinitario,Belize,Ambrosia,Canada
3.25,66.0,Trinitario,Madagascar,Ambrosia,Canada
3.25,75.0, ,Dominican Republic,Ambrosia,Canada
3.25,63.0, ,Papua New Guinea,Ambrosia,Canada
3.25,70.0, ,Venezuela,Ambrosia,Canada
3.5,68.0, ,Peru,Ambrosia,Canada
3.75,70.0, ,Peru,Amedei,Italy
4.0,70.0,Criollo,Venezuela,Amedei,Italy
5.0,70.0,Trinitario,Venezuela,Amedei,Italy
3.0,70.0,Trinitario,Ecuador,Amedei,Italy
3.0,70.0,Trinitario,Jamaica,Amedei,Italy
3.5,70.0,Trinitario,Grenada,Amedei,Italy
3.75,70.0,Criollo,Venezuela,Amedei,Italy
4.0,70.0,Criollo,Madagascar,Amedei,Italy
3.5,70.0,Trinitario,Trinidad,Amedei,Italy
3.25,75.0,Forastero,Brazil,AMMA,Brazil
2.75,85.0,Forastero,Brazil,AMMA,Brazil
3.75,50.0,Forastero,Brazil,AMMA,Brazil
3.75,75.0,Forastero,Brazil,AMMA,Brazil
4.0,60.0,Forastero,Brazil,AMMA,Brazil
3.0,75.0, ,Dominican Republic,Anahata,U.S.A.
3.5,75.0, ,Bolivia,Animas,U.S.A.
3.0,75.0,Trinitario,Madagascar,Ara,France
2.5,72.0, ,Mexico,Ara,France
2.75,75.0, ,Ecuador,Ara,France
3.0,75.0, ,Venezuela,Ara,France
3.5,70.0,Trinitario,Trinidad,Arete,U.S.A.
3.75,70.0, ,Tanzania,Arete,U.S.A.
3.5,73.0,Trinitario,Vietnam,Arete,U.S.A.
3.25,70.0, ,Ecuador,Arete,U.S.A.
3.25,70.0, ,Ecuador,Arete,U.S.A.
3.5,70.0, ,Guatemala,Arete,U.S.A.
3.75,70.0, ,Nicaragua,Arete,U.S.A.
3.5,70.0, ,Honduras,Arete,U.S.A.
4.0,70.0, ,Costa Rica,Arete,U.S.A.
4.0,70.0,Forastero,Peru,Arete,U.S.A.
3.75,70.0, ,Dominican Republic,Arete,U.S.A.
3.25,70.0, ,Fiji,Arete,U.S.A.
3.25,73.0, ,Vietnam,Arete,U.S.A.
3.5,70.0, ,Brazil,Arete,U.S.A.
3.5,68.0,Forastero,Peru,Arete,U.S.A.
3.75,70.0,Forastero,Ecuador,Arete,U.S.A.
3.5,70.0, ,Domincan Republic,Arete,U.S.A.
3.75,70.0,Trinitario,Belize,Arete,U.S.A.
4.0,70.0,Criollo,Nicaragua,Arete,U.S.A.
2.75,75.0, ,Brazil,Arete,U.S.A.
3.25,70.0, ,Guatemala,Arete,U.S.A.
3.5,75.0, ,Ecuador,Arete,U.S.A.
3.25,72.0,Trinitario,Trinidad,Artisan du Chocolat,U.K.
3.75,72.0, ,Colombia,Artisan du Chocolat,U.K.
4.0,72.0, ,Haiti,Artisan du Chocolat,U.K.
2.75,72.0, ,Panama,Artisan du Chocolat,U.K.
1.75,100.0, ,Venezuela,Artisan du Chocolat,U.K.
3.75,72.0,Trinitario,Jamaica,Artisan du Chocolat,U.K.
3.25,72.0, ,Costa Rica,Artisan du Chocolat,U.K.
3.25,72.0,Trinitario,Vietnam,Artisan du Chocolat,U.K.
3.5,72.0, ,Indonesia,Artisan du Chocolat,U.K.
2.5,75.0,Criollo,Venezuela,Artisan du Chocolat,U.K.
2.75,72.0,Trinitario,Indonesia,Artisan du Chocolat,U.K.
1.75,72.0, ,Brazil,Artisan du Chocolat,U.K.
3.0,80.0,Criollo,Madagascar,Artisan du Chocolat,U.K.
3.0,75.0,Criollo,Peru,Artisan du Chocolat,U.K.
3.25,72.0,Trinitario,Dominican Republic,Artisan du Chocolat,U.K.
3.75,72.0,Forastero,Congo,Artisan du Chocolat,U.K.
2.75,72.0,Trinitario,Colombia,Artisan du Chocolat (Casa Luker),U.K.
3.75,68.0,Trinitario,Tanzania,Askinosie,U.S.A.
3.75,72.0,Trinitario,Tanzania,Askinosie,U.S.A.
3.75,70.0,Trinitario,Honduras,Askinosie,U.S.A.
3.75,77.0,Trinitario,Philippines,Askinosie,U.S.A.
2.5,75.0,Trinitario,Mexico,Askinosie,U.S.A.
3.0,70.0,Forastero,Ecuador,Askinosie,U.S.A.
3.5,70.0, ,Papua New Guinea,Bahen & Co.,Australia
3.0,70.0,Trinitario,Madagascar,Bahen & Co.,Australia
2.5,70.0, ,Brazil,Bahen & Co.,Australia
2.75,70.0, ,Peru,Bakau,Peru
3.5,70.0, ,Peru,Bakau,Peru
3.5,70.0, ,Brazil,Bar Au Chocolat,U.S.A.
4.0,70.0,Forastero,Peru,Bar Au Chocolat,U.S.A.
3.25,70.0, ,Dominican Republic,Bar Au Chocolat,U.S.A.
3.5,70.0, ,Mexico,Bar Au Chocolat,U.S.A.
3.75,70.0,Trinitario,Madagascar,Bar Au Chocolat,U.S.A.
2.75,80.0, ,Costa Rica,Baravelli's,Wales
3.5,65.0, ,Domincan Republic,Batch,U.S.A.
3.75,70.0, ,Brazil,Batch,U.S.A.
3.25,65.0, ,Ecuador,Batch,U.S.A.
3.0,73.0, ,Malaysia,Beau Cacao,U.K.
3.25,72.0, ,Malaysia,Beau Cacao,U.K.
2.75,80.0, ,Brazil,Beehive,U.S.A.
2.75,70.0, ,Domincan Republic,Beehive,U.S.A.
2.75,70.0, ,Ecuador,Beehive,U.S.A.
2.75,90.0, ,Ecuador,Beehive,U.S.A.
2.75,64.0, ,Costa Rica,Belcolade,Belgium
2.75,64.0, ,Papua New Guinea,Belcolade,Belgium
2.75,64.0, ,Peru,Belcolade,Belgium
3.5,71.0, ,Ecuador,Belcolade,Belgium
3.5,70.0,Criollo,Tanzania,Bellflower,U.S.A.
3.25,70.0, ,Bolivia,Bellflower,U.S.A.
3.5,70.0, ,Domincan Republic,Bellflower,U.S.A.
2.75,83.0,Trinitario,Belize,Belyzium,Germany
3.0,78.0,Trinitario,Belize,Belyzium,Germany
3.5,83.0,Trinitario,Belize,Belyzium,Germany
3.5,74.0,Trinitario,Cuba,Benoit Nihant,Belgium
3.5,74.0,Criollo,Venezuela,Benoit Nihant,Belgium
3.5,74.0,Criollo,Venezuela,Benoit Nihant,Belgium
4.0,73.0,Trinitario,Ecuador,Benoit Nihant,Belgium
4.0,72.0,Trinitario,Indonesia,Benoit Nihant,Belgium
3.75,72.0,Trinitario,Madagascar,Benoit Nihant,Belgium
3.0,64.0,Trinitario,Madagascar,Beschle (Felchlin),Switzerland
3.0,88.0,Criollo,Venezuela,Beschle (Felchlin),Switzerland
3.5,72.0, ,Venezuela,Beschle (Felchlin),Switzerland
4.0,72.0, ,Ecuador,Beschle (Felchlin),Switzerland
3.25,70.0,Trinitario,Venezuela,Beschle (Felchlin),Switzerland
3.25,74.0,Criollo,Venezuela,Beschle (Felchlin),Switzerland
3.5,64.0, ,Indonesia,Beschle (Felchlin),Switzerland
3.5,72.0, ,Venezuela,Beschle (Felchlin),Switzerland
2.5,76.0, ,Nicaragua,Bisou,U.S.A.
2.5,76.0, ,Costa Rica,Bisou,U.S.A.
2.5,78.0, ,Costa Rica,Bisou,U.S.A.
3.25,86.0,Trinitario,Belize,Bisou,U.S.A.
3.5,72.0,Forastero,Ghana,Bittersweet Origins,U.S.A.
3.25,75.0, ,Indonesia,Bittersweet Origins,U.S.A.
3.75,70.0,Blend,"Dominican Rep., Bali",Bittersweet Origins,U.S.A.
2.75,65.0, ,Indonesia,Bittersweet Origins,U.S.A.
3.0,70.0,Trinitario,Madagascar,Bittersweet Origins,U.S.A.
3.0,78.0,Criollo,Venezuela,Bittersweet Origins,U.S.A.
3.0,75.0, ,Dominican Republic,Bittersweet Origins,U.S.A.
3.5,65.0, ,Dominican Republic,Bittersweet Origins,U.S.A.
3.25,75.0,Trinitario,Madagascar,Bittersweet Origins,U.S.A.
3.5,65.0,Trinitario,Madagascar,Bittersweet Origins,U.S.A.
3.0,71.0,Trinitario,Madagascar,Bittersweet Origins,U.S.A.
3.5,75.0, ,Panama,Bittersweet Origins,U.S.A.
3.75,68.0, ,Dominican Republic,Bittersweet Origins,U.S.A.
3.0,70.0,Forastero,Ghana,Bittersweet Origins,U.S.A.
2.75,70.0, ,Dominican Republic,Black Mountain,U.S.A.
2.75,70.0,Trinitario,Venezuela,Black Mountain,U.S.A.
3.0,70.0, ,Nicaragua,Black Mountain,U.S.A.
2.75,70.0,Trinitario,Jamaica,Black River (A. Morin),U.K.
3.5,82.0,Forastero,Congo,Blanxart,Spain
3.5,82.0,Trinitario,Madagascar,Blue Bandana,U.S.A.
2.75,75.0, ,Guatemala,Blue Bandana,U.S.A.
3.5,75.0, ,Tanzania,Blue Bandana,U.S.A.
3.0,75.0, ,Dominican Republic,Blue Bandana,U.S.A.
3.5,70.0, ,Guatemala,Blue Bandana,U.S.A.
3.75,70.0,Trinitario,Madagascar,Blue Bandana,U.S.A.
3.5,75.0, ,Mexico,Bonnat,France
4.0,75.0, ,Brazil,Bonnat,France
3.25,75.0, ,Dominican Republic,Bonnat,France
3.75,65.0, ,"Venez,Africa,Brasil,Peru,Mex",Bonnat,France
3.5,75.0, ,Brazil,Bonnat,France
3.25,75.0, ,Gabon,Bonnat,France
3.5,75.0,Trinitario,Cuba,Bonnat,France
3.5,75.0, ,Peru,Bonnat,France
3.5,75.0,Forastero,Peru,Bonnat,France
3.75,75.0, ,Brazil,Bonnat,France
4.0,75.0, ,Haiti,Bonnat,France
4.0,75.0,Criollo,Madagascar,Bonnat,France
3.5,75.0, ,Brazil,Bonnat,France
3.25,75.0,Trinitario,Jamaica,Bonnat,France
3.0,75.0, ,Ivory Coast,Bonnat,France
2.75,75.0,Criollo,Peru,Bonnat,France
3.0,75.0,Criollo,Mexico,Bonnat,France
3.0,75.0,Criollo,Mexico,Bonnat,France
4.0,75.0,Criollo,Venezuela,Bonnat,France
2.5,75.0,Forastero,Ecuador,Bonnat,France
3.75,75.0,Trinitario,Carribean,Bonnat,France
4.0,75.0, ,Venezuela,Bonnat,France
4.0,75.0,Criollo,Venezuela,Bonnat,France
4.0,75.0,Trinitario,Madagascar,Bonnat,France
3.0,75.0, ,Sri Lanka,Bonnat,France
4.0,75.0,Trinitario,Venezuela,Bonnat,France
3.25,77.0,Forastero,Ecuador,Bouga Cacao (Tulicorp),Ecuador
1.5,100.0,Forastero,Ecuador,Bouga Cacao (Tulicorp),Ecuador
2.75,70.0,Trinitario,Belize,Bowler Man,U.S.A.
2.75,70.0, ,Dominican Republic,Bowler Man,U.S.A.
3.5,70.0,Criollo,Venezuela,Brasstown aka It's Chocolate,U.S.A.
3.75,70.0, ,Nicaragua,Brasstown aka It's Chocolate,U.S.A.
3.75,68.0, ,Dominican Republic,Brasstown aka It's Chocolate,U.S.A.
3.75,70.0,Trinitario,Belize,Brasstown aka It's Chocolate,U.S.A.
4.0,70.0,Trinitario,Venezuela,Brasstown aka It's Chocolate,U.S.A.
3.0,72.0,Trinitario,Dominican Republic,Brasstown aka It's Chocolate,U.S.A.
3.25,70.0, ,Ecuador,Brasstown aka It's Chocolate,U.S.A.
3.5,75.0,Forastero,Ghana,Brasstown aka It's Chocolate,U.S.A.
3.5,85.0,Trinitario,Venezuela,Brasstown aka It's Chocolate,U.S.A.
3.0,60.0, ,Dominican Republic,Brazen,U.S.A.
3.25,80.0, ,Dominican Republic,Brazen,U.S.A.
3.5,70.0, ,Guatemala,Brazen,U.S.A.
2.75,80.0, ,Madagascar,Brazen,U.S.A.
3.25,80.0,Trinitario,Belize,Brazen,U.S.A.
3.25,60.0, ,Madagascar,Brazen,U.S.A.
3.0,70.0,Trinitario,Jamaica,Breeze Mill,U.S.A.
3.0,72.0,Trinitario,Madagascar,Bright,Australia
3.5,70.0, ,Dominican Republic,Bright,Australia
3.5,72.0, ,Ecuador,Bright,Australia
2.75,68.0,Trinitario,Trinidad,Bright,Australia
3.25,70.0, ,Ecuador,Britarev,Russia
2.75,68.0, ,Dominican Republic,Bronx Grrl Chocolate,U.S.A.
3.25,72.0,Trinitario,Trinidad,Burnt Fork Bend,U.S.A.
3.5,72.0, ,Ecuador,Burnt Fork Bend,U.S.A.
3.25,72.0,Trinitario,Belize,Burnt Fork Bend,U.S.A.
2.5,60.0, ,Ecuador,Burnt Fork Bend,U.S.A.
2.5,70.0, ,Puerto Rico,Cacao Arabuco,Puerto Rico
2.5,75.0,Criollo,Peru,Cacao Atlanta,U.S.A.
2.5,75.0, ,Dominican Republic,Cacao Atlanta,U.S.A.
2.75,75.0, ,Dominican Republic,Cacao Atlanta,U.S.A.
2.25,75.0, ,Venezuela,Cacao Atlanta,U.S.A.
3.5,65.0,Criollo,Haiti,Cacao Barry,France
3.0,70.0, ,Dominican Republic,Cacao Barry,France
2.0,75.0, ,Tanzania,Cacao Barry,France
2.0,72.0, ,Venezuela,Cacao Barry,France
3.0,66.0, ,Mexico,Cacao Barry,France
3.5,77.0,Trinitario,Venezuela,Cacao de Origen,Venezuela
3.25,75.0,Trinitario,Venezuela,Cacao de Origen,Venezuela
2.5,75.0, ,Venezuela,Cacao de Origen,Venezuela
3.25,74.0, ,Venezuela,Cacao de Origen,Venezuela
3.5,75.0,Trinitario,Venezuela,Cacao de Origen,Venezuela
3.75,70.0,Trinitario,Venezuela,Cacao de Origen,Venezuela
3.25,74.0, ,Venezuela,Cacao de Origin,Venezuela
3.75,71.0, ,Colombia,Cacao Hunters,Colombia
3.75,74.0, ,Colombia,Cacao Hunters,Colombia
3.75,72.0, ,Colombia,Cacao Hunters,Colombia
3.5,64.0, ,Colombia,Cacao Hunters,Colombia
3.5,70.0, ,Colombia,Cacao Hunters,Colombia
2.75,69.0, ,Colombia,Cacao Hunters,Colombia
3.25,70.0, ,Colombia,Cacao Hunters,Colombia
3.5,70.0,Trinitario,Honduras,Cacao Market,U.S.A.
3.75,72.0,Criollo,Dominican Republic,Cacao Prieto,U.S.A.
3.0,72.0, ,Dominican Republic,Cacao Prieto,U.S.A.
3.75,66.0, ,Dominican Republic,Cacao Prieto,U.S.A.
3.25,65.0, ,Dominican Republic,Cacao Prieto,U.S.A.
3.5,70.0,Criollo,Congo,Cacao Sampaka,Spain
3.5,71.0,Trinitario,Madagascar,Cacao Sampaka,Spain
3.75,71.0, ,Ecuador,Cacao Sampaka,Spain
4.0,71.0, ,Papua New Guinea,Cacao Sampaka,Spain
3.25,71.0,Trinitario,Grenada,Cacao Sampaka,Spain
3.5,71.0, ,Venezuela,Cacao Sampaka,Spain
3.5,77.0, ,Venezuela,Cacao Sampaka,Spain
4.0,70.0,Criollo,Mexico,Cacao Sampaka,Spain
4.0,70.0,Criollo,Mexico,Cacao Sampaka,Spain
3.0,70.0,Trinitario,Madagascar,Cacao Store,Japan
3.25,70.0, ,Peru,Cacao Store,Japan
3.5,70.0,Trinitario,Vietnam,Cacao Store,Japan
3.25,70.0, ,Peru,Cacaosuyo (Theobroma Inversiones),Peru
3.5,63.0,Forastero,Ecuador,Cacaoyere (Ecuatoriana),Ecuador
3.5,71.0,Forastero,Ecuador,Cacaoyere (Ecuatoriana),Ecuador
2.5,82.0,Forastero,Ecuador,Cacaoyere (Ecuatoriana),Ecuador
1.5,91.0,Forastero,Ecuador,Cacaoyere (Ecuatoriana),Ecuador
2.75,60.0,Trinitario,Grenada,Callebaut,Belgium
1.0,70.0, ,Ecuador,Callebaut,Belgium
2.5,75.0, ,Cuba,C-Amaro,Italy
3.0,72.0, ,Dominican Republic,C-Amaro,Italy
3.5,100.0, ,Ecuador,C-Amaro,Italy
3.0,80.0, ,Venezuela,C-Amaro,Italy
2.25,78.0,Forastero,Sao Tome,C-Amaro,Italy
2.5,70.0,Trinitario,Trinidad,C-Amaro,Italy
2.5,75.0,Criollo,Venezuela,Cao,U.S.A.
2.75,73.0, ,Tanzania,Cao,U.S.A.
3.0,70.0,Criollo,Venezuela,Cao,U.S.A.
3.0,75.0, ,Bolivia,Cao,U.S.A.
3.25,70.0,Trinitario,Brazil,Cao,U.S.A.
2.0,77.0,Forastero,Ecuador,Caoni (Tulicorp),Ecuador
2.5,77.0,Forastero,Ecuador,Caoni (Tulicorp),Ecuador
2.75,77.0,Forastero,Ecuador,Caoni (Tulicorp),Ecuador
3.0,55.0,Forastero,Ecuador,Caoni (Tulicorp),Ecuador
3.25,55.0,Forastero,Ecuador,Caoni (Tulicorp),Ecuador
3.5,55.0,Forastero,Ecuador,Caoni (Tulicorp),Ecuador
3.5,70.0,Trinitario,Papua New Guinea,Captain Pembleton,New Zealand
3.75,70.0, ,Papua New Guinea,Captain Pembleton,New Zealand
3.5,72.0, ,Guatemala,Caribeans,Costa Rica
3.25,72.0, ,Costa Rica,Caribeans,Costa Rica
3.5,72.0, ,Costa Rica,Caribeans,Costa Rica
3.0,72.0,Forastero,Costa Rica,Caribeans,Costa Rica
2.75,80.0,Forastero,Costa Rica,Caribeans,Costa Rica
3.0,65.0,Trinitario,Colombia,Carlotta Chocolat,Colombia
3.25,65.0,Trinitario,Colombia,Carlotta Chocolat,Colombia
3.25,65.0,Trinitario,Colombia,Carlotta Chocolat,Colombia
3.5,65.0,Trinitario,Colombia,Carlotta Chocolat,Colombia
3.5,65.0,CCN51,Colombia,Carlotta Chocolat,Colombia
4.0,72.0,Trinitario,Belize,Castronovo,U.S.A.
